,datetime,time,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
149,9/27/2017,16:00:00+00:00,AS Roma,QBG,ROM,g,1,2,1.05,2.1,0.751,1.788,0.708,2.031,C,2
150,9/27/2017,18:45:00+00:00,Celtic,RSCA,CEL,g,0,3,0,2.625,0.518,1.145,1.203,0.549,B,2
151,9/27/2017,18:45:00+00:00,Olympiacos,JUV,OLY,g,2,0,1.859,0,2.752,0.362,2.532,0.549,D,2
152,9/27/2017,18:45:00+00:00,Chelsea,ATL,CHE,g,1,2,1.05,2.1,1.459,2.293,0.439,2.103,C,2
153,9/27/2017,18:45:00+00:00,Barcelona,SCP,BAR,g,0,1,0,1.05,0.478,0.797,1.071,1.635,D,2
154,9/27/2017,18:45:00+00:00,Manchester United,CSKA,MAN,g,1,4,1.05,4.2,0.514,3.832,0.937,1.915,A,2
155,9/27/2017,18:45:00+00:00,Bayern Munich,PSG,BMU,g,3,0,3.15,0,1.994,1.052,1.05,2.301,B,2
156,9/27/2017,18:45:00+00:00,Benfica,BAS,BEN,g,5,0,4.074,0,3.148,0.579,0.699,0.795,A,2
157,10/17/2017,18:45:00+00:00,Borussia Dortmund,NIC,DOR,g,1,1,1.05,1.05,0.816,1.707,1.208,1.955,H,3
158,10/17/2017,18:45:00+00:00,Napoli,MNC,NAP,g,2,1,2.1,1.05,2.457,2.209,1.443,0.949,F,3
159,10/17/2017,18:45:00+00:00,Tottenham Hotspur,MAD,TOT,g,1,1,1.05,1.05,3.412,0.946,2.36,1.105,H,3
160,10/17/2017,18:45:00+00:00,Liverpool,MAR,LIV,g,0,7,0,6.423,0.376,4.014,0.641,3.53,E,3
161,10/17/2017,18:45:00+00:00,Sevilla FC,SPM,SEV,g,5,1,4.644,1.05,1.348,1.47,1.436,1.823,E,3
162,10/17/2017,18:45:00+00:00,Besiktas,MON,BES,g,1,2,1.05,2.1,0.669,1.415,1.189,1.028,G,3
163,10/17/2017,18:45:00+00:00,Shakhtar Donetsk,FEY,SHK,g,1,2,0.84,2.1,1.76,1.073,0.881,1.352,F,3
164,10/17/2017,18:45:00+00:00,FC Porto,RBL,POR,g,3,2,3.15,2.1,2.254,0.955,1.413,1.541,G,3
165,10/18/2017,16:00:00+00:00,Atletico Madrid,QBG,ATL,g,0,0,0,0,0.334,1.913,0.627,1.812,C,3
166,10/18/2017,18:45:00+00:00,Paris Saint-Germain,RSCA,PSG,g,0,4,0,3.741,1.09,3.449,0.966,1.879,B,3
167,10/18/2017,18:45:00+00:00,AS Roma,CHE,ROM,g,3,3,3.15,3.15,1.846,1.701,1.234,1.332,C,3
168,10/18/2017,18:45:00+00:00,Sporting CP,JUV,SCP,g,2,1,2.1,1.05,1.855,0.509,2.673,0.709,D,3
169,10/18/2017,18:45:00+00:00,Olympiacos,BAR,OLY,g,3,1,3.15,0.84,4.289,0.176,3.791,0.198,D,3
170,10/18/2017,18:45:00+00:00,Celtic,BMU,CEL,g,3,0,3.15,0,3.578,0.549,4.09,0.751,B,3
171,10/18/2017,18:45:00+00:00,Manchester United,BEN,MAN,g,0,1,0,0.84,1.144,0.453,0.972,0.695,A,3
172,10/18/2017,18:45:00+00:00,Basel,CSKA,BAS,g,0,2,0,1.577,0.375,1.066,1.663,0.819,A,3
173,10/31/2017,19:45:00+00:00,Benfica,MAN,BEN,g,2,0,1.9,0,2.829,1.044,1.322,0.918,A,4
174,10/31/2017,19:45:00+00:00,Bayern Munich,CEL,BMU,g,1,2,1.05,2.1,1.211,0.72,1.069,0.763,B,4
175,10/31/2017,19:45:00+00:00,Chelsea,ROM,CHE,g,3,0,3.15,0,1.405,1.438,1.12,1.827,C,4
176,10/31/2017,19:45:00+00:00,FK Qarabag,ATL,QBG,g,1,1,1.05,1.05,3.134,0.104,3.697,0.45,C,4
177,10/31/2017,19:45:00+00:00,Barcelona,OLY,BAR,g,0,0,0,0,0.307,2.452,0.44,2.118,D,4
