,datetime,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
199,22-Nov-2017,Bayern Munich,RSCA,BMU,g,1,2,1.05,2.1,1.799,2.636,1.316,1.483,B,5
200,22-Nov-2017,Barcelona,JUV,BAR,g,0,0,0,0,0.6,0.511,1.269,1.042,D,5
201,22-Nov-2017,AS Roma,ATL,ROM,g,2,0,1.578,0,1.068,0.481,2.185,0.953,C,5
202,22-Nov-2017,Olympiacos,SCP,OLY,g,3,1,3.15,1.05,1.481,0.447,1.662,0.446,D,5
203,22-Nov-2017,Celtic,PSG,CEL,g,7,1,6.761,1.05,2.229,0.396,2.415,0.725,B,5
204,22-Nov-2017,Manchester United,BAS,MAN,g,1,0,1.05,0,0.959,1.394,0.213,2.021,A,5
205,5-Dec-2017,Atletico Madrid,CHE,ATL,g,1,1,1.05,1.05,2.847,0.921,2.46,0.915,C,6
206,5-Dec-2017,CSKA Moscow,MAN,CSKA,g,2,1,2.1,1.05,2.268,0.857,1.977,1.186,A,6
207,5-Dec-2017,Anderlecht,CEL,RSCA,g,0,1,0,1.05,0.732,0.787,1.189,0.829,B,6
208,5-Dec-2017,FK Qarabag,ROM,QBG,g,1,0,1.05,0,1.955,0.446,1.753,0.144,C,6
209,5-Dec-2017,Sporting CP,BAR,SCP,g,2,0,1.575,0,1.146,0.873,1.8,0.28,D,6
210,5-Dec-2017,Paris Saint-Germain,BMU,PSG,g,3,1,3.15,1.05,1.79,1.618,1.838,2.201,B,6
211,5-Dec-2017,Juventus,OLY,JUV,g,0,2,0,1.602,0.845,1.211,0.499,1.3,D,6
212,5-Dec-2017,Basel,BEN,BAS,g,0,2,0,2.1,1.483,1.467,2.428,0.58,A,6
213,6-Dec-2017,Spartak Moscow,LIV,SPM,g,7,0,6.823,0,4.197,0.63,2.266,1.099,E,6
214,6-Dec-2017,Apoel Nicosia,TOT,NIC,g,3,0,2.901,0,3.097,0.624,1.461,0.61,H,6
215,6-Dec-2017,Borussia Dortmund,MAD,DOR,g,3,2,3.15,2.1,3.023,2.208,3.187,1.49,H,6
216,6-Dec-2017,Sevilla FC,MAR,SEV,g,1,1,1.05,1.05,0.817,1.65,0.555,2.397,E,6
217,6-Dec-2017,Manchester City,SHK,MNC,g,2,1,2.1,1.05,1.198,1.635,0.821,2.288,F,6
218,6-Dec-2017,AS Monaco,POR,MON,g,5,2,4.793,2.1,1.642,1.63,1.488,0.841,G,6
219,6-Dec-2017,Napoli,FEY,NAP,g,2,1,2.1,1.05,0.446,1.309,0.771,1.029,F,6
220,6-Dec-2017,Besiktas,RBL,BES,g,1,2,1.05,1.89,2.248,2.232,3.151,1.565,G,6
221,13-Feb-2018,Tottenham Hotspur,JUV,TOT,k,2,2,2.1,2.1,2.531,1.341,1.303,1.461,,
222,13-Feb-2018,Manchester City,BAS,MNC,k,0,4,0,4.2,0.599,1.11,0.66,1.527,,
223,14-Feb-2018,Paris Saint-Germain,MAD,PSG,k,3,1,2.735,1.05,2.611,1.204,1.305,1.449,,
224,14-Feb-2018,Liverpool,POR,LIV,k,0,5,0,4.864,0.538,2.857,0.833,1.483,,
225,20-Feb-2018,Barcelona,CHE,BAR,k,1,1,1.05,1.05,0.487,0.706,0.671,1.314,,
226,20-Feb-2018,Besiktas,BMU,BES,k,5,0,3.668,0,5.187,0.302,4.209,0.499,,
227,21-Feb-2018,AS Roma,SHK,ROM,k,2,1,2.1,1.05,1.237,1.294,1.45,1.458,,
228,21-Feb-2018,Manchester United,SEV,MAN,k,0,0,0,0,2.053,0.641,1.854,1.088,,
229,6-Mar-2018,FC Porto,LIV,POR,k,0,0,0,0,1.572,0.601,1.321,0.562,,
230,6-Mar-2018,Real Madrid,PSG,MAD,k,1,2,1.05,1.89,1.274,2.374,1.419,2.114,,
231,7-Mar-2018,Juventus,TOT,JUV,k,1,2,1.05,2.1,1.846,1.433,2.909,0.466,,
